ticker,degree,weighted_degree,betweenness,eigenvector,community
APA,15,11.401098837589398,2.3212996489232385e-05,5.192773742754797e-08,10
FBIN,15,9.530566953968382,0.04947769104750891,8.603605675609879e-10,55
MHO,15,11.431040316456254,0.005072426166735909,1.7041597547803266e-09,55
BGX,15,10.441072827710968,0.00391628360551604,1.983757373741757e-06,29
B,14,10.669626340318572,0.0,1.621799789537362e-09,26
HQH,14,5.574332500337948,0.010972342680928976,1.7574973847381006e-07,20
RHP,14,10.210456499521621,0.025690469307121513,9.237740035200928e-10,11
DHI,14,11.192380434547987,7.839376153917929e-07,1.8559366769852803e-09,55
KIM,14,11.092824044019366,0.0008363190694379456,9.796773577675642e-09,11
PAA,14,10.526334864949941,0.0006212918429606686,7.014144211242029e-08,10
NVG,14,10.205541417165435,0.000289796879851809,1.2767496871817982e-08,33
ESRT,14,9.453417895623934,0.0008679930646256677,3.4260199105000654e-09,11
NOV,14,10.034818652505335,0.0012746669985053425,3.114325674062455e-08,10
VNO,14,10.303720960550459,0.004216091142268476,3.769281249795581e-09,11
AWK,14,10.33890578081969,0.0008673026886383347,4.4450305271193505e-08,8
BTG,14,10.237424579173725,0.0,1.5583439573099862e-09,26
RITM,14,9.760086013019828,0.01300954032957502,2.5220895987950726e-08,14
ADI,14,10.255813294348576,0.010840677664181562,9.682824533790062e-09,57
AEM,14,10.768610637696167,2.4091741351064853e-07,1.6078737022261143e-09,26
CPT,14,10.671153555340403,0.0006388905961835941,1.4954642044342105e-09,11
AGI,14,10.342896615264362,1.60611609007099e-07,1.5537228630644052e-09,26
AG,13,9.062730884898734,0.0008684590922231858,9.715889658010444e-10,26
AVB,13,10.136226824903813,0.0004420652583307842,3.128118536548851e-09,11
BHB,13,8.827755086690493,0.0002891008962127783,0.009881691116329376,40
WTRG,13,9.551774416904546,0.002023706273489448,3.81338662351737e-08,8
EGBN,13,9.199803028955936,0.0,0.012363450865115736,40
DPG,13,8.425083532129534,0.00847373443902504,4.05610863295476e-06,29
ARCC,13,8.842212280046644,0.00871382223507115,3.185045944464016e-09,5
APLE,13,9.435457530208575,0.003722045776437331,1.2994919765609244e-09,11
MYI,13,9.203708745079862,0.0008678915978713607,1.1013526873648994e-08,33
D,13,9.65638956403116,8.217807697426081e-05,4.6429966938648324e-08,8
HST,13,10.009560425848896,0.0019154745190788232,9.570719338229395e-10,11
JRS,13,9.814457814115974,0.0005154610848366503,6.758669561264075e-06,29
KBH,13,10.532024588672492,3.479918195153812e-07,1.8018206999376528e-09,55
VOYA,13,9.511033178607681,0.0,0.004194261120509994,54
IMO,13,9.556799617619435,0.0,4.47663678296307e-08,10
CCS,12,9.448961316823468,1.0707440600473268e-07,1.6660864902347587e-09,55
VTR,12,8.341460463160457,0.004185304059531569,9.959778738173082e-09,11
SLG,12,9.301480662359438,0.00030648335581762864,3.7205159424835957e-09,11
SLRC,12,7.8907360346207325,0.03042401464777874,1.2057045372038842e-07,5
PSF,12,8.97355888666607,1.2020792159560587e-05,3.6750133302546145e-06,29
ETN,12,8.133304134253368,0.01500327293155077,8.197193045856339e-06,16
NTB,12,8.481964534529697,0.0,0.011464417919298357,40
OGS,12,8.77305462345904,0.0002936391488778527,2.853102517437663e-08,8
